欄位名稱(中),原始欄位名稱,資料表名稱,資料層級,欄位名稱(英),中文值標籤,序號,型態,簡易說明,資料變動說明,本單位新增,資料涵蓋學年度
,學校類別,校8.提供學生住宿人數及其比率-以「校」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,校8.提供學生住宿人數及其比率-以「校」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,校8.提供學生住宿人數及其比率-以「校」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,縣市別,校8.提供學生住宿人數及其比率-以「校」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,申請學校宿舍人數(A),校8.提供學生住宿人數及其比率-以「校」統計,,,,7,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學生實際住宿情形-自有宿舍住宿人數-小計(B),校8.提供學生住宿人數及其比率-以「校」統計,,,,8,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學生實際住宿情形-自有宿舍住宿人數-男,校8.提供學生住宿人數及其比率-以「校」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學生實際住宿情形-自有宿舍住宿人數-女,校8.提供學生住宿人數及其比率-以「校」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學生實際住宿情形-學校租賃宿舍住宿人數-小計(C),校8.提供學生住宿人數及其比率-以「校」統計,,,,11,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學生實際住宿情形-學校租賃宿舍住宿人數-男,校8.提供學生住宿人數及其比率-以「校」統計,,,,12,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學生實際住宿情形-學校租賃宿舍住宿人數-女,校8.提供學生住宿人數及其比率-以「校」統計,,,,13,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學生校外租屋人數(107學年度新增)-小計(D),校8.提供學生住宿人數及其比率-以「校」統計,,,,14,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學生校外租屋人數(107學年度新增)-男,校8.提供學生住宿人數及其比率-以「校」統計,,,,15,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學生校外租屋人數(107學年度新增)-女,校8.提供學生住宿人數及其比率-以「校」統計,,,,16,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校提供學生實際住宿之比率(%)E=(B+C)/（B+C+D）,校8.提供學生住宿人數及其比率-以「校」統計,,,,17,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,縣市別,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,一年級學生申請學校宿舍人數(A),校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,7,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,一年級學生實際住宿情形-自有宿舍住宿人數-小計(B),校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,8,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,一年級學生實際住宿情形-自有宿舍住宿人數-男,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,一年級學生實際住宿情形-自有宿舍住宿人數-女,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,一年級學生實際住宿情形-學校租賃宿舍住宿人數-小計(C),校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,11,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,一年級學生實際住宿情形-學校租賃宿舍住宿人數-男,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,12,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,一年級學生實際住宿情形-學校租賃宿舍住宿人數-女,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,13,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,一年級學生校外租屋人數(107學年度新增)-小計(D),校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,14,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,一年級學生校外租屋人數(107學年度新增)-男,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,15,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,一年級學生校外租屋人數(107學年度新增)-女,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,16,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校提供一年級學生實際住宿之比率(%)E=(B+C)/（B+C+D）,校9.提供一年級學生住宿人數及其比率-以「校」統計,,,,17,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,年度,研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,專任教師數,研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,6,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,全校總經費,研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,7,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接計畫經費-小計,研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,8,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接計畫經費-政府部門資助,研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,9,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接計畫經費-企業部門資助,研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,10,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接計畫經費-其他單位資助,研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,11,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,承接計畫總經費佔全校總經費比率(%),研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,12,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,專任教師每師平均承接計畫總經費,研1.學校承接各單位資助「各類計畫經費」及其每師平均承接金額-以「校」統計,,,,13,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,年度,研2.學校承接各單位資助「產學合作」計畫經費及其每師平均承接金額-以「校」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,研2.學校承接各單位資助「產學合作」計畫經費及其每師平均承接金額-以「校」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,研2.學校承接各單位資助「產學合作」計畫經費及其每師平均承接金額-以「校」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,研2.學校承接各單位資助「產學合作」計畫經費及其每師平均承接金額-以「校」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,研2.學校承接各單位資助「產學合作」計畫經費及其每師平均承接金額-以「校」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,專任教師數,研2.學校承接各單位資助「產學合作」計畫經費及其每師平均承接金額-以「校」統計,,,,6,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接「產學合作」計畫經費-小計,研2.學校承接各單位資助「產學合作」計畫經費及其每師平均承接金額-以「校」統計,,,,7,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接「產學合作」計畫經費-政府部門資助,研2.學校承接各單位資助「產學合作」計畫經費及其每師平均承接金額-以「校」統計,,,,8,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接「產學合作」計畫經費-企業部門資助,研2.學校承接各單位資助「產學合作」計畫經費及其每師平均承接金額-以「校」統計,,,,9,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接「產學合作」計畫經費-其他單位資助,研2.學校承接各單位資助「產學合作」計畫經費及其每師平均承接金額-以「校」統計,,,,10,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,專任教師每師平均承接「產學合作」計畫經費,研2.學校承接各單位資助「產學合作」計畫經費及其每師平均承接金額-以「校」統計,,,,11,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,年度,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,4,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,中華民國有實體審查-小計,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,6,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,中華民國有實體審查-專利公告數,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,7,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,中華民國有實體審查-新品種數,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,8,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,美國專利公告數,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,9,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,其他國家有實體審查-小計,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,10,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,其他國家有實體審查-專利公告數,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,11,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,其他國家有實體審查-新品種數,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,12,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,已授權-小計,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,13,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,已授權-專利公告數,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,14,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,已授權-新品種數,研3.學校申請專利、新品種及授權件數-以「校」統計,,,,15,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,年度,研4.學校各種智慧財產權衍生運用總金額-以「校」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,研4.學校各種智慧財產權衍生運用總金額-以「校」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,研4.學校各種智慧財產權衍生運用總金額-以「校」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,研4.學校各種智慧財產權衍生運用總金額-以「校」統計,,,,4,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,研4.學校各種智慧財產權衍生運用總金額-以「校」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,須繳交科發基金之金額-科技部,研4.學校各種智慧財產權衍生運用總金額-以「校」統計,,,,6,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,須繳交科發基金之金額-經濟部,研4.學校各種智慧財產權衍生運用總金額-以「校」統計,,,,7,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,須繳交科發基金之金額-中研院,研4.學校各種智慧財產權衍生運用總金額-以「校」統計,,,,8,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,須繳交科發基金之金額-其他部會,研4.學校各種智慧財產權衍生運用總金額-以「校」統計,,,,9,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,不須繳交科發基金之金額,研4.學校各種智慧財產權衍生運用總金額-以「校」統計,,,,10,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學年度,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,專任教師數,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,6,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接「學術研究」計畫經費-小計,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,7,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接「學術研究」計畫經費-政府部門資助,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,8,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接「學術研究」計畫經費-企業部門資助,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,9,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接「學術研究」計畫經費-其他單位資助,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,10,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校承接「學術研究」計畫經費-學校自籌經費,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,11,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,專任教師每師平均-承接政府、企業及其他部門資助學術研究計畫經費,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,12,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,專任教師每師平均-承接學校自籌補助學術研究計畫經費,研5.專任教師獲資助「學術研究」計畫經費及其每師平均承接金額-以「校」統計,,,,13,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,年度,研6.學校衍生企業-以「校」統計,,,,1,int64,,,0.0,110
,設立別,研6.學校衍生企業-以「校」統計,,,,2,object,,,0.0,110
,學校類別,研6.學校衍生企業-以「校」統計,,,,3,object,,,0.0,110
,學校統計處代碼,研6.學校衍生企業-以「校」統計,,,,4,object,,,0.0,110
,學校名稱,研6.學校衍生企業-以「校」統計,,,,5,object,,,0.0,110
,衍生企業數,研6.學校衍生企業-以「校」統計,,,,6,int64,,,0.0,110
,衍生企業資本額組成之學校資源投入總金額,研6.學校衍生企業-以「校」統計,,,,7,float64,,,0.0,110
,衍生企業回饋學校之總金額,研6.學校衍生企業-以「校」統計,,,,8,float64,,,0.0,110
,衍生企業組成人員-教師數-現職為專任教師並兼職公司職務者,研6.學校衍生企業-以「校」統計,,,,9,int64,,,0.0,110
,衍生企業組成人員-教師數-現職專任教師借調至公司擔任職務者,研6.學校衍生企業-以「校」統計,,,,10,int64,,,0.0,110
,衍生企業組成人員-學生數-在學學生,研6.學校衍生企業-以「校」統計,,,,11,int64,,,0.0,110
,衍生企業組成人員-學生數-近5學年畢業之學生,研6.學校衍生企業-以「校」統計,,,,12,int64,,,0.0,110
,年度,研7.學校合作企業新事業部門-以「校」統計,,,,1,int64,,,0.0,110
,設立別,研7.學校合作企業新事業部門-以「校」統計,,,,2,object,,,0.0,110
,學校類別,研7.學校合作企業新事業部門-以「校」統計,,,,3,object,,,0.0,110
,學校統計處代碼,研7.學校合作企業新事業部門-以「校」統計,,,,4,object,,,0.0,110
,學校名稱,研7.學校合作企業新事業部門-以「校」統計,,,,5,object,,,0.0,110
,合作企業新事業部門總數,研7.學校合作企業新事業部門-以「校」統計,,,,6,int64,,,0.0,110
,合作企業新事業部門回饋學校之總金額,研7.學校合作企業新事業部門-以「校」統計,,,,7,float64,,,0.0,110
,合作企業新事業部門組成人員-教師數-現職為專任教師並兼職合作企業新事業部門職務者,研7.學校合作企業新事業部門-以「校」統計,,,,8,int64,,,0.0,110
,合作企業新事業部門組成人員-教師數-現職為專任教師借調至合作企業新事業部門擔任職務者,研7.學校合作企業新事業部門-以「校」統計,,,,9,int64,,,0.0,110
,合作企業新事業部門組成人員-學生數-在學學生,研7.學校合作企業新事業部門-以「校」統計,,,,10,int64,,,0.0,110
,合作企業新事業部門組成人員-學生數-近5學年畢業之學生,研7.學校合作企業新事業部門-以「校」統計,,,,11,int64,,,0.0,110
,年度,財1-1.國立學校可用資金、本年度現金增減情形-以「校」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,財1-1.國立學校可用資金、本年度現金增減情形-以「校」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,財1-1.國立學校可用資金、本年度現金增減情形-以「校」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,財1-1.國立學校可用資金、本年度現金增減情形-以「校」統計,,,,4,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,財1-1.國立學校可用資金、本年度現金增減情形-以「校」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,國立學校可用資金,財1-1.國立學校可用資金、本年度現金增減情形-以「校」統計,,,,6,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,國立學校本年度現金增減情形-業務活動之淨現金流入(出),財1-1.國立學校可用資金、本年度現金增減情形-以「校」統計,,,,7,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,國立學校本年度現金增減情形-投資活動之淨現金流入(出),財1-1.國立學校可用資金、本年度現金增減情形-以「校」統計,,,,8,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,國立學校本年度現金增減情形-融資活動之淨現金流入(出),財1-1.國立學校可用資金、本年度現金增減情形-以「校」統計,,,,9,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,國立學校本年度現金增減情形-匯率變動影響數(107新增),財1-1.國立學校可用資金、本年度現金增減情形-以「校」統計,,,,10,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,國立學校本年度現金增減情形-小計,財1-1.國立學校可用資金、本年度現金增減情形-以「校」統計,,,,11,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,年度,財1-2.國立學校學雜費收入占總收入比率-以「校」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,財1-2.國立學校學雜費收入占總收入比率-以「校」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,財1-2.國立學校學雜費收入占總收入比率-以「校」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,財1-2.國立學校學雜費收入占總收入比率-以「校」統計,,,,4,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,財1-2.國立學校學雜費收入占總收入比率-以「校」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學雜費收入,財1-2.國立學校學雜費收入占總收入比率-以「校」統計,,,,6,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,業務總收入(總收入),財1-2.國立學校學雜費收入占總收入比率-以「校」統計,,,,7,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學雜費收入占總收入之比率(%),財1-2.國立學校學雜費收入占總收入比率-以「校」統計,,,,8,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,年度,財1-3.國立學校負債占總資產比率-以「校」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,財1-3.國立學校負債占總資產比率-以「校」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,財1-3.國立學校負債占總資產比率-以「校」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,財1-3.國立學校負債占總資產比率-以「校」統計,,,,4,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,財1-3.國立學校負債占總資產比率-以「校」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,負債金額(扣除應付代管資產),財1-3.國立學校負債占總資產比率-以「校」統計,,,,6,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,總資產金額(扣除代管資產),財1-3.國立學校負債占總資產比率-以「校」統計,,,,7,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,負債占總資產比率(%)(扣除代管資產及應付代管資產),財1-3.國立學校負債占總資產比率-以「校」統計,,,,8,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,財1-4.國立學校財務報表公告網址,,,,1,object,,,,
,學校類別,財1-4.國立學校財務報表公告網址,,,,2,object,,,,
,學校統計處代碼,財1-4.國立學校財務報表公告網址,,,,3,int64,,,,
,學校名稱,財1-4.國立學校財務報表公告網址,,,,4,object,,,,
,財務報表公告網址,財1-4.國立學校財務報表公告網址,,,,5,object,,,,
,年度,財1-5.國立學校財務相關比率-以「校」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109
,設立別,財1-5.國立學校財務相關比率-以「校」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109
,學校類別,財1-5.國立學校財務相關比率-以「校」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109
,學校統計處代碼,財1-5.國立學校財務相關比率-以「校」統計,,,,4,int64,,,0.0,105 ;106 ;107 ;108 ;109
,學校名稱,財1-5.國立學校財務相關比率-以「校」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109
,學雜費收入占總收入比率(%)(財務結構，註1),財1-5.國立學校財務相關比率-以「校」統計,,,,6,float64,,,0.0,105 ;106 ;107 ;108 ;109
,負債占總資產比率(%)(財務結構允當性),財1-5.國立學校財務相關比率-以「校」統計,,,,7,float64,,,0.0,105 ;106 ;107 ;108 ;109
,速動比率(%)(短期償債能力),財1-5.國立學校財務相關比率-以「校」統計,,,,8,float64,,,0.0,105 ;106 ;107 ;108 ;109
,營運活動淨現金流量占流動負債比率(%)(指學校營運產生的主要收支現金賸餘，用以償還流動負債之能力),財1-5.國立學校財務相關比率-以「校」統計,,,,9,float64,,,0.0,105 ;106 ;107 ;108 ;109
,查核年度,財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,1,int64,,,0.0,108 ;109 ;110
,設立別,財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,2,object,,,0.0,108 ;109 ;110
,學校類別,財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,3,object,,,0.0,108 ;109 ;110
,學校統計處代碼,財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,4,int64,,,0.0,108 ;109 ;110
,學校名稱,財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,5,object,,,0.0,108 ;109 ;110
,受查範圍(年度),財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,6,object,,,0.0,108 ;109 ;110
,未發現重大異常情形,財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,7,float64,,,0.0,108 ;109 ;110
,須持續追蹤改善-建議改進事項(件),財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,8,int64,,,0.0,108 ;109 ;110
,須持續追蹤改善-更正事項(件),財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,9,int64,,,0.0,108 ;109 ;110
,須持續追蹤改善-收回事項(件),財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,10,int64,,,0.0,108 ;109 ;110
,須持續追蹤改善-查明事項(件),財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,11,int64,,,0.0,108 ;109 ;110
,須持續追蹤改善-其他事項(件),財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,12,int64,,,0.0,108 ;109 ;110
,本部持續追蹤改善結果說明,財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,13,object,,,0.0,108 ;109 ;110
,備註,財1-6.查核國立各校財務狀況結果及追蹤辦理情形-以「校」統計,,,,14,float64,,,0.0,108 ;109 ;110
,學年度,財2-1.私立學校可用資金、本學年現金增減情形-以「校」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,財2-1.私立學校可用資金、本學年現金增減情形-以「校」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,財2-1.私立學校可用資金、本學年現金增減情形-以「校」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,財2-1.私立學校可用資金、本學年現金增減情形-以「校」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,財2-1.私立學校可用資金、本學年現金增減情形-以「校」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,私立學校可用資金,財2-1.私立學校可用資金、本學年現金增減情形-以「校」統計,,,,6,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,私立學校本學年現金增減情形-營運活動淨現金流入(出),財2-1.私立學校可用資金、本學年現金增減情形-以「校」統計,,,,7,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,私立學校本學年現金增減情形-投資活動淨現金流入(出),財2-1.私立學校可用資金、本學年現金增減情形-以「校」統計,,,,8,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,私立學校本學年現金增減情形-籌資活動淨現金流入(出),財2-1.私立學校可用資金、本學年現金增減情形-以「校」統計,,,,9,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,私立學校本學年現金增減情形-匯率變動影響數(107新增),財2-1.私立學校可用資金、本學年現金增減情形-以「校」統計,,,,10,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,私立學校本學年現金增減情形-小計,財2-1.私立學校可用資金、本學年現金增減情形-以「校」統計,,,,11,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學年度,財2-10.私立學校收支餘絀情形表-以「校」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109
